datetime,location,y_test,y_pred,is_missing
2024-06-21 09:00:00,1,705.963,881.0734197023041,0.0
2024-06-21 09:10:00,1,794.913,736.3251945153964,0.0
2024-06-21 09:20:00,1,867.45,641.3606399494607,0.0
2024-06-21 09:30:00,1,961.782,549.1880905092352,0.0
2024-06-21 09:40:00,1,1037.141,496.1137826584784,0.0
2024-06-21 09:50:00,1,1131.693,486.4294331166953,0.0
2024-06-21 10:00:00,1,1191.843,510.0705421959703,0.0
2024-06-21 10:10:00,1,1283.86,548.6936937739249,0.0
2024-06-21 10:20:00,1,1166.237,581.5677040382125,0.0
2024-06-21 10:30:00,1,716.4069999999999,592.0441466126293,0.0
2024-06-21 10:40:00,1,943.673,579.776654193644,0.0
2024-06-21 10:50:00,1,805.5600000000001,554.206477949054,0.0
2024-06-21 11:00:00,1,839.432,526.0421336174685,0.0
2024-06-21 11:10:00,1,945.352,501.31756081410725,0.0
2024-06-21 11:20:00,1,833.992,481.2528539676079,0.0
2024-06-21 11:30:00,1,989.242,464.0297453960572,0.0
2024-06-21 11:40:00,1,1063.742,446.8282739964757,0.0
2024-06-21 11:50:00,1,1100.434,428.0671065918593,0.0
2024-06-21 12:00:00,1,1151.172,407.85745700009977,0.0
2024-06-21 12:10:00,1,776.929,387.3990594173955,0.0
2024-06-21 12:20:00,1,452.282,368.1271161588655,0.0
2024-06-21 12:30:00,1,1134.625,351.1034909296521,0.0
2024-06-21 12:40:00,1,1211.061,336.7711141885721,0.0
2024-06-21 12:50:00,1,934.243,325.03249216844654,0.0
2024-06-21 13:00:00,1,822.6379999999999,315.4803704175827,0.0
2024-06-21 13:10:00,1,772.182,307.6522583445675,0.0
2024-06-21 13:20:00,1,774.534,301.18725313872744,0.0
2024-06-21 13:30:00,1,696.616,295.8795099930147,0.0
2024-06-21 13:40:00,1,753.049,291.655609524117,0.0
2024-06-21 13:50:00,1,192.823,288.50884774070954,0.0
2024-06-21 14:00:00,1,558.428,286.4327595151626,0.0
2024-06-21 14:10:00,1,580.341,285.37943454534667,0.0
2024-06-21 14:20:00,1,518.975,285.2497932566728,0.0
2024-06-21 14:30:00,1,182.97,285.90670178145376,0.0
2024-06-21 14:40:00,1,102.806,287.20093987126864,0.0
2024-06-21 14:50:00,1,16.119,288.99428842720226,0.0
2024-06-21 15:00:00,1,29.487777777777776,291.1730752874698,0.0
2024-06-21 15:10:00,1,19.25,293.64767988911547,0.0
2024-06-21 15:20:00,1,21.486,296.3467655799275,0.0
2024-06-21 15:30:00,1,22.102,299.20658053766715,0.0
2024-06-21 15:40:00,1,27.57,302.16412826114663,0.0
2024-06-21 15:50:00,1,20.625,305.15463917801526,0.0
2024-06-21 16:00:00,1,20.513,308.11393920297974,0.0
2024-06-21 16:10:00,1,10.093333333333334,310.98340879486284,0.0
2024-06-21 16:20:00,1,9.279,313.7139390908872,0.0
2024-06-21 16:30:00,1,8.997,316.2689038042179,0.0
2024-06-21 16:40:00,1,3.431,318.62362358198345,0.0
2024-06-21 16:50:00,1,5.315555555555556,320.7630490687972,0.0
2024-06-22 09:00:00,1,639.1220000000001,18.75852062302554,0.0
2024-06-22 09:10:00,1,770.324,22.326945785383103,0.0
2024-06-22 09:20:00,1,737.482,27.22215020149334,0.0
2024-06-22 09:30:00,1,834.0555555555555,34.10469046656178,0.0
2024-06-22 09:40:00,1,854.392,43.6820332104309,0.0
2024-06-22 09:50:00,1,994.8657142857144,56.82000686711377,0.0
2024-06-22 10:00:00,1,1015.1155555555556,74.25315743000922,0.0
2024-06-22 10:10:00,1,1074.389,96.58020971158012,0.0
2024-06-22 10:20:00,1,1173.0733333333333,123.34716324895494,0.0
2024-06-22 10:30:00,1,1108.638,153.60273916167841,0.0
2024-06-22 10:40:00,1,988.413,185.42005279609384,0.0
2024-06-22 10:50:00,1,481.011,215.69407414592604,0.0
2024-06-22 11:00:00,1,1130.756,242.59196440264833,0.0
2024-06-22 11:10:00,1,1047.023,265.5104239713032,0.0
2024-06-22 11:20:00,1,1016.723,284.3279298449882,0.0
2024-06-22 11:30:00,1,1186.349,299.1940919523321,0.0
2024-06-22 11:40:00,1,1233.1799999999998,310.3832533858959,0.0
2024-06-22 11:50:00,1,1242.8960000000002,318.19520797491737,0.0
2024-06-22 12:00:00,1,1268.858,322.97954874224604,0.0
2024-06-22 12:10:00,1,1258.825,325.18719846225844,0.0
2024-06-22 12:20:00,1,1129.352,325.3673847786499,0.0
2024-06-22 12:30:00,1,995.28,324.1006659826555,0.0
2024-06-22 12:40:00,1,839.1969999999999,321.9207282604486,0.0
2024-06-22 12:50:00,1,814.426,319.25495554210164,0.0
2024-06-22 13:00:00,1,922.095,316.3974395570389,0.0
2024-06-22 13:10:00,1,869.4979999999999,313.53123106657904,0.0
2024-06-22 13:20:00,1,843.6789999999999,310.7711777774951,0.0
2024-06-22 13:30:00,1,337.702,308.19974289387517,0.0
2024-06-22 13:40:00,1,392.102,305.889194703993,0.0
2024-06-22 13:50:00,1,423.488,303.9076337994114,0.0
2024-06-22 14:00:00,1,118.458,302.313794576174,0.0
2024-06-22 14:10:00,1,236.364,301.14810062504654,0.0
2024-06-22 14:20:00,1,412.961,300.42683862568964,0.0
2024-06-22 14:30:00,1,237.349,300.1416446585686,0.0
2024-06-22 14:40:00,1,102.077,300.2633081418084,0.0
2024-06-22 14:50:00,1,105.763,300.7504500821811,0.0
2024-06-22 15:00:00,1,103.402,301.55603870258653,0.0
2024-06-22 15:10:00,1,107.728,302.6324041036231,0.0
2024-06-22 15:20:00,1,86.05199999999999,303.9336901641752,0.0
2024-06-22 15:30:00,1,87.99199999999999,305.4148800982915,0.0
2024-06-22 15:40:00,1,38.57,307.0323686562584,0.0
2024-06-22 15:50:00,1,39.651,308.74186314503476,0.0
2024-06-22 16:00:00,1,24.938,310.500363848826,0.0
2024-06-22 16:10:00,1,24.157,312.26638962381173,0.0
2024-06-22 16:20:00,1,29.285000000000004,314.0018907504177,0.0
2024-06-22 16:30:00,1,29.588,315.6738386311541,0.0
2024-06-22 16:40:00,1,24.259,317.2552487351551,0.0
2024-06-22 16:50:00,1,15.949000000000002,318.7244924939364,0.0
2024-06-23 09:00:00,1,628.663,37.361241299187306,1.0
2024-06-23 09:10:00,1,628.663,43.26978883458282,1.0
2024-06-23 09:20:00,1,628.663,54.383142066162996,1.0
