序號,答案
20240117090001,113.20776862200506
20240117091001,130.15778910896083
20240117092001,113.00308876432953
20240117093001,130.7072914580271
20240117094001,134.16711691159574
20240117095001,128.4895674393749
20240117100001,132.9099963359948
20240117101001,141.17181053763824
20240117102001,142.783480672275
20240117103001,158.3391438582012
20240117104001,130.71398578679637
20240117105001,137.26279503086235
20240117110001,126.52440636002343
20240117111001,132.31778435893207
20240117112001,117.8115468614094
20240117113001,150.6117518180199
20240117114001,198.77515605948705
20240117115001,161.24204241233267
20240117120001,189.38386025507162
20240117121001,127.43207496495634
20240117122001,92.69351328261729
20240117123001,83.5307735859203
20240117124001,86.12349230950792
20240117125001,80.6705505022359
20240117130001,68.1572521487553
20240117131001,72.98654977157601
20240117132001,70.95227087875789
20240117133001,75.37163065534018
20240117134001,83.10664747827529
20240117135001,79.9150340338072
20240117140001,54.20327841346442
20240117141001,43.59993545977968
20240117142001,45.77807504337796
20240117143001,33.67119763872802
20240117144001,32.434843770675144
20240117145001,21.47774575008804
20240117150001,14.901750736446761
20240117151001,10.808605182455144
20240117152001,7.990596483541893
20240117153001,6.780453057388353
20240117154001,8.29471496664426
20240117155001,8.518567218154544
20240117160001,6.122533141775269
20240117161001,5.37383649543571
20240117162001,4.0190714572335295
20240117163001,3.4417434416416928
20240117164001,2.7576196326917364
20240117165001,1.989741069568315
20240119090001,248.50993822708602
20240119091001,300.4546103338822
20240119092001,185.6505441719212
20240119093001,129.2336205697016
20240119094001,200.60288043649317
20240119095001,265.57142037450245
20240119100001,250.13243817978116
20240119101001,258.536156122098
20240119102001,253.1987740204443
20240119103001,221.27455831452534
20240119104001,203.4425794309767
20240119105001,221.5303267514384
20240119110001,225.55998796218816
20240119111001,208.8896466973558
20240119112001,191.97352082955237
20240119113001,190.84412520571624
20240119114001,169.45625709170955
20240119115001,125.62140778221347
20240119120001,122.77246051136275
20240119121001,68.94097792174699
20240119122001,78.42552638993521
20240119123001,130.34272672818176
20240119124001,116.37526939919582
20240119125001,91.04305155244393
20240119130001,49.48914629250779
20240119131001,53.18097109852153
20240119132001,44.27429994965758
20240119133001,37.05667819075736
20240119134001,31.239078138355723
20240119135001,26.91016359818011
20240119140001,23.423255779490752
20240119141001,18.8695845619225
20240119142001,21.48878822023955
20240119143001,24.883741101566645
20240119144001,22.67649994389559
20240119145001,25.666592745135134
20240119150001,23.88875660246605
20240119151001,26.002526636703003
20240119152001,24.24527696678946
20240119153001,17.71151982599023
20240119154001,12.804795034636042
20240119155001,10.052739835983257
20240119160001,7.49546867433998
20240119161001,5.149875752570486
20240119162001,4.006904715094982
20240119163001,3.5507801856046877
20240119164001,3.090797433090202
20240119165001,2.60522499307147
20240224090001,75.62712353647538
20240224091001,70.57172759167908
20240224092001,69.84954473471804
20240224093001,74.30960237642637
20240224094001,96.94518967634164
20240224095001,70.6282551758921
20240224100001,52.09189316512786
20240224101001,55.76330273809486
20240224102001,68.74790711554644
20240224103001,63.49897952276959
20240224104001,68.22723766789255
20240224105001,73.43729885999284
20240224110001,75.10142411218962
20240224111001,80.58632618698171
20240224112001,87.1839745798463
20240224113001,88.70846022832735
20240224114001,95.36225172729256
20240224115001,93.77626896938902
20240224120001,96.39202014651244
20240224121001,84.65777228974547
20240224122001,61.573825843989226
20240224123001,53.91885553315945
20240224124001,38.61623264146023
20240224125001,33.034491336297386
20240224130001,26.502186259923445
20240224131001,22.72942491453937
20240224132001,20.399751859793668
20240224133001,21.413010065898504
20240224134001,15.607004226207522
20240224135001,12.979845243505947
20240224140001,9.758454348886026
20240224141001,8.715046759873642
20240224142001,8.18745013376241
20240224143001,7.291358932457754
20240224144001,6.075393465835607
20240224145001,3.8292211322268095
20240224150001,2.46136980753054
20240224151001,2.3433083531788537
20240224152001,2.076259564609318
20240224153001,1.4814719009601265
20240224154001,1.468152368742449
20240224155001,2.019943871333152
20240224160001,2.076302971750556
20240224161001,1.5836206998229674
20240224162001,0.9388654284631099
20240224163001,0.5389222664089164
20240224164001,0.2283997427598734
20240224165001,-0.004582306126066027
20240226090001,52.30411734970464
20240226091001,48.09339924530157
20240226092001,43.0542879219562
20240226093001,43.36824182658731
20240226094001,77.59285474423993
20240226095001,83.83161791079611
20240226100001,74.75287454779384
20240226101001,52.34462288069466
20240226102001,55.44312318194333
20240226103001,63.42799892036929
20240226104001,69.33300049413296
20240226105001,59.62382061214906
20240226110001,53.53440196906692
20240226111001,35.21368343583739
20240226112001,32.54431199395721
20240226113001,34.05877915991817
20240226114001,42.56736548531157
20240226115001,50.55940084555459
20240226120001,48.485022691881696
20240226121001,53.13896508253046
20240226122001,48.95477531346901
20240226123001,39.853386845632244
20240226124001,34.41855370127667
20240226125001,29.49065386422944
20240226130001,29.05739790486627
20240226131001,27.91227655341564
20240226132001,29.169661478698252
20240226133001,25.730679813728557
20240226134001,26.92848757844314
20240226135001,24.094694570051743
20240226140001,23.24780133533734
20240226141001,15.300967087453728
20240226142001,17.50069634513366
20240226143001,16.524530311888473
20240226144001,17.453857678470012
20240226145001,15.392116353711348
20240226150001,12.246025881300104
20240226151001,13.859848314108751
20240226152001,10.294124816460696
20240226153001,9.929535282499733
20240226154001,12.11662551461701
20240226155001,11.270800335435757
20240226160001,8.963565679594602
20240226161001,9.219616871552942
20240226162001,8.745107546559295
20240226163001,8.271914954460664
20240226164001,7.316110690908278
20240226165001,6.362647058708215
20240327090001,140.10381444652919
20240327091001,147.3339052393287
20240327092001,155.15290018475926
20240327093001,173.8873134492218
20240327094001,260.18447420641127
20240327095001,300.87475675212596
20240327100001,293.9385421388689
20240327101001,242.0449713277877
20240327102001,236.44566899135614
20240327103001,255.7455121400257
20240327104001,270.295176573793
20240327105001,251.84802801770624
20240327110001,256.5335386053337
20240327111001,215.04180853628617
20240327112001,204.20198333360838
20240327113001,241.6342414652156
20240327114001,280.34407341123296
20240327115001,318.6789772581405
20240327120001,335.71815293272215
20240327121001,372.58976496678014
20240327122001,352.19874040318064
20240327123001,318.390804255155
20240327124001,297.98432914240556
20240327125001,279.2762382243898
20240327130001,290.53098953189357
20240327131001,284.3670294402965
20240327132001,283.2700101344763
20240327133001,277.8689978443884
20240327134001,283.1526196073165
20240327135001,265.78457502434645
20240327140001,260.6433852410935
20240327141001,220.65936027317028
20240327142001,234.64170651842403
20240327143001,228.25229419064158
20240327144001,251.61383269664836
20240327145001,224.74819473257782
20240327150001,201.21182476849387
20240327151001,223.5048802713934
20240327152001,180.77489694012198
20240327153001,162.1977996223057
20240327154001,187.96231815570397
20240327155001,203.007933792612
20240327160001,172.48365105904537
20240327161001,150.30009119183987
20240327162001,130.97938348296844
20240327163001,160.86441513272345
20240327164001,139.95367446237339
20240327165001,122.61587928670647
20240329090001,32.448584228771516
20240329091001,36.37792372842159
20240329092001,38.30917441258699
20240329093001,32.924517240775465
20240329094001,33.99337465243212
20240329095001,36.72663793853545
20240329100001,44.95184006278323
20240329101001,43.75675307614256
20240329102001,44.465200737460314
20240329103001,49.353483266295896
20240329104001,47.860124324172595
20240329105001,51.91635637399757
20240329110001,42.67114913869857
20240329111001,35.53209064354918
20240329112001,34.083531194160265
20240329113001,33.003761598703775
20240329114001,39.2861011432263
20240329115001,42.36714665296447
20240329120001,48.67206086102532
20240329121001,46.52967180995769
20240329122001,41.77545197472268
20240329123001,49.47552821748737
20240329124001,43.22796679206344
20240329125001,38.11815757254171
