DateTime,LocationCode,Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
2024-03-01 15:40:00,12.0,20240301154012,0.17333333333333334,1015.8133333333333,17.666666666666668,71.21222222222224,2720.1400000000003,1.7155555555555555
2024-03-01 15:50:00,12.0,20240301155012,0.13099999999999998,1015.8309999999999,17.71,72.19800000000001,2849.5,1.8050000000000002
2024-03-01 16:00:00,12.0,20240301160012,0.12999999999999998,1015.9460000000001,17.303,75.394,2470.834,1.262
2024-03-01 16:10:00,12.0,20240301161012,0.156,1015.985,17.019,76.838,2126.668,0.875
2024-03-01 16:20:00,12.0,20240301162012,0.304,1016.141,16.666,78.856,1291.749,0.366
2024-03-01 16:30:00,12.0,20240301163012,0.149,1016.226,16.585,81.06899999999999,1211.333,0.328
2024-03-01 16:40:00,12.0,20240301164012,0.409,1016.2869999999999,16.355,81.9,1662.583,0.585
2024-03-01 16:50:00,12.0,20240301165012,0.471,1016.324,16.064,81.81800000000001,1033.416,0.24900000000000003
2024-03-02 07:00:00,12.0,20240302070012,0.078,1019.909,14.518,89.107,2030.084,1.2029999999999998
2024-03-02 07:10:00,12.0,20240302071012,0.45199999999999996,1019.673,14.524000000000001,89.155,2216.418,1.569
2024-03-02 07:20:00,12.0,20240302072012,0.304,1019.8770000000001,14.336000000000002,90.625,1153.084,0.378
2024-03-02 07:30:00,12.0,20240302073012,0.034,1019.8860000000001,14.3,91.727,1477.583,0.55
2024-03-02 07:40:00,12.0,20240302074012,0.0,1020.0040000000001,14.449000000000002,92.824,3602.75,3.219
2024-03-02 07:50:00,12.0,20240302075012,0.0,1020.225,14.276,93.176,2036.4989999999998,0.969
2024-03-02 08:00:00,12.0,20240302080012,0.069,1020.0719999999999,14.474,93.119,4572.8330000000005,5.5649999999999995
2024-03-02 08:10:00,12.0,20240302081012,0.192,1020.116,14.916999999999998,92.384,7579.250999999999,15.516
2024-03-02 08:20:00,12.0,20240302082012,0.174,1020.066,15.315000000000001,91.324,7975.249000000001,15.906
